genus_and_species,superkingdom,phylum,class,order,family,genus,Tmin,Topt_ave,Tmax,gc_count,gc_percentage,genome_size,accession,coding_bases,coding_density,ncbi_biosample,ncbi_country,ncbi_isolation_source,ncbi_lat_lon,gtdb_representative,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_rrna_count,ncbi_trna_count,protein_count,trna_aa_count,trna_count,checkm2_completeness,checkm2_contamination
Hathewaya limosa,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hathewaya,25,37,45,835399,27.365833876020893,3052708,RS_GCF_030815255.1,2626985,86.05425084875462,SAMN35367918,Cote d Ivoire: Cote d Ivoire;Africa; Ebrie Laguna,none,5.28 N 4.391854 W,TRUE,1,Hathewaya limosa,none,9,65,2728,19,65,99.96,0.31
Hazenella coriacea,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Hazenella,22,43.5,45,1195807,39.448392119604655,3031320,RS_GCF_004341825.1,2541024,83.8256601084676,SAMN10362859,none,none,none,TRUE,1,Hazenella coriacea,none,22,92,2876,19,92,99.99,0.18
Heliobacterium chlorum,Bacteria,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Heliobacterium,20,38.5,45,2018290,48.65812788594901,4147899,RS_GCF_014502795.1,3533720,85.19300976229171,SAMN15590895,USA: Bloomington,garden soil,none,TRUE,2,Heliobacterium chlorum,none,90,146,4164,19,156,96.58,1.17
Heliorestis acidaminivorans,Bacteria,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Heliorestis,18,27.5,37,1233049,41.0081347860212,3006840,RS_GCF_008933955.1,2635888,87.66306155299252,SAMN12908310,Egypt: Lake El Hamra,shoreline sediment,none,TRUE,2,Heliorestis acidaminivorans,none,29,72,2804,19,76,94.69,0.14
Hellea balneolensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hellea,15,30,37,852146,51.025331652739894,1670048,GB_GCA_003233025.1,1554469,93.07930071471,SAMN09240023,Atlantic Ocean: Mid-Atlantic Ridge; Guaymas Basin; Black smoker hydrothermal vent,marine hydrothermal chimney wall TVG10,15.16 S 13.35 W,TRUE,none,Hellea balneolensis,0,none,none,1878,16,22,83.69,2.92
Henriciella algicola,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Henriciella,10,30,40,1934925,60.40771637805644,3203764,RS_GCF_003576245.1,2934655,91.60022398653584,SAMN09915280,USA: Virgin Islands of Hull Bay,algal material,none,TRUE,1,Henriciella algicola,none,3,42,3097,19,42,100,0.07
Henriciella barbarensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Henriciella,15,30,40,1970177,59.20237821932841,3327924,RS_GCF_003576345.1,3050930,91.6766729047899,SAMN09915279,none,sea water,none,TRUE,1,Henriciella barbarensis,none,3,43,3271,19,43,100,0.1
Henriciella litoralis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Henriciella,15,27.5,40,2223050,58.88835173276998,3775089,RS_GCF_002088935.1,3449468,91.3744815022904,SAMN06670198,South Korea: Yellow Sea,sediment,none,TRUE,1,Henriciella litoralis,3603,3,42,3636,19,42,100,0.2
Henriciella marina,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Henriciella,10,20,37,1930350,59.49152291641755,3244748,RS_GCF_027213945.1,2978313,91.78873058863122,SAMN32218582,Germany: Kiel,artificial sea water,54.3318490 N 10.1441270 E,TRUE,1,Henriciella marina,none,3,42,3268,19,42,100,0
Henriciella pelagia,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Henriciella,15,37,40,2063907,59.927195629298744,3444025,RS_GCF_002088945.1,3145188,91.32303046580672,SAMN06670196,Pacific Ocean: Eastern Pacific Ocean,seawater,8.48 N 146.99 E,TRUE,0,Henriciella pelagia,3336,3,41,3354,19,41,100,0.19
Hephaestia caeni,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Hephaestia,20,28,37,2966294,65.55828307364939,4524961,RS_GCF_003550065.1,4100146,90.61174228904956,SAMN09074688,none,none,none,TRUE,0,Hephaestia caeni,none,3,45,4302,19,46,100,1.37
Herbaspirillum aquaticum,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,10,27.5,35,3403042,62.72903511105188,5424987,RS_GCF_002213425.1,4745185,87.46905752953879,SAMN07251784,USA,none,none,TRUE,1,Herbaspirillum aquaticum,4824,3,53,4817,19,53,100,0.03
Herbaspirillum rhizosphaerae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,4,27.5,34,3165992,60.12013803740105,5266109,RS_GCF_001189965.1,4641373,88.13666788894798,SAMN03785417,South Korea: Ulleung Island,rhizosphere soil,none,TRUE,13,Herbaspirillum rhizosphaerae,4699,3,48,4696,19,48,100,0.09
Herbaspirillum robiniae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,4,27.5,45,3589715,64.86003574631822,5534556,RS_GCF_002213415.1,4804111,86.80210300519138,SAMN07251781,China,root nodule,34.26 N 108.07 E,TRUE,1,Herbaspirillum robiniae,4808,3,52,4834,19,52,100,0.07
Herbiconiux flava,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Herbiconiux,5,28,37,2736967,71.105732147167,3849151,RS_GCF_013409865.1,3548550,92.19045966240348,SAMN05878396,Japan,none,none,TRUE,0,Herbiconiux flava,none,6,45,3613,19,45,98.94,1.18
Herbiconiux ginsengi,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Herbiconiux,4,28,37,3320542,68.4273248355797,4853715,RS_GCF_900107435.1,4426374,91.1955893578424,SAMN05216554,none,none,none,TRUE,0,Herbiconiux ginsengi,4497,3,47,4546,19,47,99.85,2.04
Herbiconiux moechotypicola,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Herbiconiux,15,25,30,3008790,70.2870898903571,4280725,RS_GCF_024979255.1,3971791,92.7831383702527,SAMN30149050,South Korea: Daejeon,gut,none,TRUE,0,Herbiconiux moechotypicola,none,4,48,4026,19,48,99.89,0.33
Herbidospora galbida,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Herbidospora,20,28,37,5866587,70.55755578251878,8314612,RS_GCF_005233835.1,7599722,91.40200408630012,SAMN11521793,China: Sanya,soil,none,TRUE,0,Herbidospora galbida,none,9,73,7737,19,70,100,0.12
Herbihabitans rhizosphaerae,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Herbihabitans,20,28,40,4600775,69.42420960648083,6627535,RS_GCF_004216555.1,6012100,90.71396831552002,SAMN10864763,none,none,none,TRUE,0,Herbihabitans rhizosphaerae,none,5,54,6604,19,53,98.57,0.01
Herbinix hemicellulosilytica,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Herbinix,45,55,62,1113983,36.68507424889128,3036611,RS_GCF_002904165.1,2586903,85.19046397447681,SAMEA3448156,Germany,soil,none,TRUE,1,Herbinix hemicellulosilytica,2662,3,35,2688,16,35,100,0.84
Herbinix luporum,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Herbinix,40,55,65,919852,35.25212389896035,2609352,RS_GCF_900070325.1,2273767,87.13914412467156,SAMEA3518679,Germany,soil,none,TRUE,1,Herbinix luporum,2344,12,53,2362,19,53,99.98,0.36
Herbivorax saccincola,Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Hungateiclostridium,45,60,65,1255024,34.81780096084196,3604547,RS_GCF_002844395.1,3057310,84.81814774505645,SAMN07503206,Germany: Munich,thermophilic industrial scale biogas plant,none,TRUE,1,Acetivibrio saccincola,3189,9,51,3235,19,52,99.73,0.71
Herminiimonas arsenicoxydans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,4,25,30,1859225,54.294927411590145,3424307,GB_GCA_000026125.1,3025502,88.3537019315149,SAMEA3138226,none,none,none,TRUE,0,Herminiimonas arsenicoxydans,none,6,45,3263,19,45,100,0.86
Herminiimonas contaminans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,15,27.5,37,2176607,53.89223172941363,4038814,RS_GCF_015645465.1,3613563,89.47089417834047,SAMN16775933,France,none,none,TRUE,1,Herminiimonas contaminans,none,3,44,3893,19,44,100,0.53
Hippea alviniae,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Hippea,45,60,75,647819,37.031221239909314,1749386,RS_GCF_000420385.1,1657061,94.72243404257266,SAMN02440906,none,none,none,TRUE,1,Hippea alviniae EP5-r,1749,8,46,1767,19,47,99.61,0
Hippea jasoniae,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Hippea,40,62.5,72,634574,37.006232884061824,1714776,RS_GCF_000744435.1,1644231,95.88605158924548,SAMN02745989,Atlantic Ocean: Mid-Atlantic Ridge; Lucky Strike hydrothermal vent field,none,none,TRUE,1,Hippea jasoniae,1707,10,46,1721,19,46,99.19,0.02
Hippea maritima,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Hippea,40,53,65,634975,37.47425387888553,1694430,RS_GCF_000194135.1,1604164,94.67278081714797,SAMN00713597,Papua New Guinea,marine sediment from hot vent of tidal zone,4.233333 S 152.2 E,TRUE,1,Hippea maritima DSM 10411,1727,6,48,1737,19,48,99.97,0.09
Hirschia maritima,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hirschia,10,30,30,1495404,44.62334050495797,3351270,RS_GCF_000378345.1,3012150,89.88085114001558,SAMN02440469,South Korea,none,33.564 N 126.761 E,TRUE,1,Hirschia maritima DSM 19733,3063,12,43,3069,19,43,99.71,0.13
Hoeflea alexandrii,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Hoeflea,10,30,42,3439711,61.97149324030583,5550575,RS_GCF_027214025.1,4928455,88.7917918413858,SAMN32218577,Germany: Kiel,artificial sea water,54.3318490 N 10.1441270 E,TRUE,1,Hoeflea alexandrii,none,3,44,5209,19,46,100,0.05
Hoeflea halophila,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Hoeflea,15,26.5,30,2560027,61.06056309171176,4192799,RS_GCF_900220985.1,3706460,88.40061257408237,SAMN05877838,none,none,none,TRUE,1,Hoeflea halophila,3902,3,46,3928,19,46,99.99,0.03
Hoeflea olei,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Hoeflea,20,30,35,3096094,65.55217241899864,4723612,RS_GCF_001703635.1,4203723,88.9938250643787,SAMN04364335,India: Kerala,hydrocarbon contaminated water,none,TRUE,1,Hoeflea olei,4331,3,43,4387,19,43,100,0.03
Hoeflea phototrophica,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Hoeflea,15,31,33,2671973,59.80522369886512,4468465,RS_GCF_000154705.2,3998307,89.47831078457591,SAMN02436119,Germany,none,none,TRUE,1,Hoeflea phototrophica DFL-43,4170,6,47,4231,19,47,99.99,0.12
Holdemania massiliensis,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,25,37,37,1936437,46.48479274885657,4165743,RS_GCF_022440805.1,3653252,87.6974887793126,SAMN25248155,Malaysia: Kuala Pangsun village,fecal sample,none,TRUE,1,Holdemania massiliensis,none,12,46,3854,19,47,96.55,4.67
Homoserinibacter gongjuensis,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Homoserinibacter,15,29,40,2309776,70.19458549724315,3290533,RS_GCF_030161875.1,2907669,88.36468134493713,SAMD00582135,none,Greenhouse soil,none,TRUE,0,Homoserinibacter gongjuensis,none,3,47,3672,19,47,89.77,2.58
Homoserinimonas aerilata,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Homoserinimonas,4,30,35,1898531,66.82859914618487,2840896,RS_GCF_006716125.1,2589067,91.13557835274504,SAMN11512344,none,none,none,TRUE,0,Homoserinimonas aerilata,none,6,43,2678,19,44,99.96,2.29
Hoyosella altamirensis,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Hoyosella,20,28,37,2962312,62.20470837106975,4762199,RS_GCF_014191505.1,4381934,92.01492839757432,SAMN12024688,Spain: Cave of Altamira,none,43.38 N 4.12 W,TRUE,0,Hoyosella altamirensis,none,9,46,4592,19,46,100,0.23
Hoyosella rhizosphaerae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Hoyosella,20,32.5,42,2068457,58.410281100909145,3541256,RS_GCF_014643175.1,3230936,91.23700743465032,SAMD00245069,none,none,none,TRUE,0,Hoyosella rhizosphaerae,none,3,45,3317,19,45,99.99,0.01
Hoyosella subflava,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Hoyosella,15,37,42,3027120,62.24172353597931,4863490,RS_GCF_000214175.1,4464662,91.7995513509846,SAMN02603151,China,crude oil-polluted soil,none,TRUE,0,Hoyosella subflava DQS3-9A1,4493,9,45,4561,19,45,100,0.1
Humibacillus xanthopallidus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Humibacillus,7,29.5,32,3822151,70.90210553496883,5390744,RS_GCF_006717145.1,4840814,89.79862519904488,SAMN12024894,none,none,none,TRUE,0,Humibacillus xanthopallidus,none,6,49,4732,19,49,100,0.11
Humibacter albus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Humibacter,22,30,36,2511709,68.01131848121146,3693075,RS_GCF_000421825.1,3321574,89.9406050513461,SAMN02440591,Portugal,none,none,TRUE,0,Humibacter albus DSM 18994,3251,9,45,3282,19,45,99.15,0.18
Hungatella effluvii,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hungatella,10,30,45,3360449,48.96892651868272,6863335,RS_GCF_003201875.1,6132818,89.35623862160305,SAMN09074768,none,none,none,TRUE,1,Hungatella effluvii,5953,7,64,5915,19,63,100,10.26
Hungatella hathewayi,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hungatella,15,37,45,3334847,48.10879751917444,6931886,RS_GCF_025149285.1,6204569,89.5076606857066,SAMN20222677,none,none,none,TRUE,1,Hungatella hathewayi,none,15,74,6234,19,74,99.99,7.31
Hwangdonia seohaensis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Hwangdonia,4,30,37,1358009,36.23315856330875,3748244,RS_GCF_031932625.1,3395632,90.59260816531688,SAMN37420587,none,none,none,TRUE,1,Hwangdonia seohaensis,none,3,34,3241,18,34,99.24,0
Hwanghaeella grinnelliae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Hwanghaeella,10,30,37,3148780,59.14568059852323,5323771,RS_GCF_004005845.1,4776322,89.71689428414558,SAMN10687058,South Korea: Yellow (West) Sea,none,none,TRUE,1,Hwanghaeella grinnelliae,none,5,44,4857,19,49,97.85,0.02
Hwanghaeicola aestuarii,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Hwanghaeicola,15,27.5,35,2998778,66.02985016786123,4545653,RS_GCF_003253995.1,4041129,88.90095658423553,SAMN05660475,none,none,none,TRUE,0,Palleronia aestuarii,4309,4,45,4380,19,45,100,0.14
Hydrocarboniclastica marina,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Hydrocarboniclastica,4,30,40,2465866,57.90455373851033,4258501,RS_GCF_004851605.1,3732188,87.64088584222476,SAMN09602974,China: South China Sea,deep-sea surface sediment,21.3672 N 119.4074 E,TRUE,1,Hydrocarboniclastica marina,none,9,49,3777,19,50,100,0.01
Hydrocarboniphaga daqingensis,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Sinobacteraceae,Hydrocarboniphaga,10,22.5,37,2479504,65.32708807905738,3800678,RS_GCF_900129825.1,3491230,91.85808426812268,SAMN04488068,none,none,none,TRUE,1,Hydrocarboniphaga daqingensis,3274,6,47,3277,19,47,99.34,0.01
Hydrogenimonas thermophila,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Hydrogenimonaceae,Hydrogenimonas,35,55,65,818838,33.517724109701184,2444910,RS_GCF_900115615.1,2271283,92.89842979905193,SAMN05216234,none,none,none,TRUE,0,Hydrogenimonas thermophila,2471,8,39,2533,19,39,100,0.06
Hydrogenispora ethanolica,Bacteria,Firmicutes,NA,NA,NA,Hydrogenispora,20,41,50,3240553,54.15883948722337,5983490,RS_GCF_004340685.1,4948017,82.69449769281808,SAMN10363346,China,none,36.87 N 120.5 E,TRUE,2,Hydrogenispora ethanolica,none,8,53,5267,19,53,97.25,1.81
Hydrogenivirga caldilitoris,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenivirga,55,75,77.5,810325,46.21373320505136,1753429,RS_GCF_003664005.1,1690850,96.43105024497711,SAMN05421838,Japan: Kagoshima Prefecture; Ibusuki,none,31.59 N 130.56 E,TRUE,0,Hydrogenivirga caldilitoris,none,3,43,1901,19,43,99.94,0.24
Hydrogenobacter hydrogenophilus,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,50,75,82,664728,41.50687266662462,1601489,RS_GCF_900215655.1,1533396,95.74814438313344,SAMN06265353,none,none,none,TRUE,0,Hydrogenobacter hydrogenophilus,1712,3,44,1725,19,44,99.99,0.19
Hydrogenobacter thermophilus,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,50,72.5,77.5,764371,43.84746880826043,1744672,RS_GCF_037924725.1,1675876,96.05679462959226,SAMN38287398,none,none,none,FALSE,0,Hydrogenobacter thermophilus,none,3,43,1913,19,43,99.87,0.23
Hydrogenophaga crassostreae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,4,25,35,3030980,61.304593000348696,4944132,RS_GCF_001761385.1,4435600,89.7144331906996,SAMN05726019,South Korea,Crassostrea gigas,none,TRUE,0,Hydrogenophaga crassostreae,4566,6,45,4614,19,45,100,0.4
Hydrogenophaga electricum,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,15,25,40,3192605,67.02788100186852,4764223,RS_GCF_030160815.1,4329295,90.8709562923482,SAMD00576804,none,Microbial fuel cell anode chamber,none,TRUE,1,Hydrogenophaga electricum,none,4,46,4596,19,49,100,0.11
Hydrogenophaga laconesensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,15,26.5,42,3644845,65.80924438024735,5538500,RS_GCF_031457235.1,5072508,91.58631398393068,SAMN18245280,none,none,none,TRUE,1,Hydrogenophaga laconesensis,none,6,45,5342,19,45,100,1.36
Hydrogenothermus marinus,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Hydrogenothermus,45,65,80,443443,27.65427895061128,1604000,RS_GCF_003688665.1,1493916,93.13690773067331,SAMN07620873,Italy,none,none,TRUE,1,Hydrogenothermus marinus,none,5,35,1678,19,35,99.95,0.02
Hydrogenovibrio halophilus,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,20,30,43,1293041,54.8715757275876,2356686,RS_GCF_000384235.1,2128621,90.32263950309884,SAMN02256398,Russia,sediments hypersaline lake,none,TRUE,0,Hydrogenovibrio halophilus DSM 15072,2173,9,45,2165,19,45,100,0.09
Hydrogenovibrio kuenenii,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,4,31,42,1018439,41.527292833268845,2452457,RS_GCF_000526715.1,2224973,90.72424103664204,SAMN02584989,Germany,not provided; submitted under MIGS 2.1,none,TRUE,0,Hydrogenovibrio kuenenii DSM 12350,2220,9,43,2239,19,44,100,0.22
Hydrogenovibrio thermophilus,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,15,37.5,55,1318952,50.47858810958271,2612894,RS_GCF_004028275.1,2359862,90.31602506645888,SAMN10724091,Pacific Ocean: Juan de Fuca Hydrothermal vents,Juan de Fuca hydrothermal vents,none,TRUE,0,Hydrogenovibrio thermophilus,none,9,44,2389,19,44,99.99,0.34
Hydrotalea sandarakina,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Hydrotalea,25,45,52.5,1166939,35.767949200113904,3268305,RS_GCF_003254115.1,2969631,90.86150160404246,SAMN05660754,Portugal: Azores Islands; Island of Sao Miguel; Furnas area,none,37.7411 N 25.6756 W,TRUE,0,Hydrotalea sandarakina,2823,6,40,2833,19,40,100,0.03
Hymenobacter cavernae,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,4,15,35,3149386,55.93128381283484,5631281,RS_GCF_014641455.1,4851169,86.14681100090725,SAMD00245027,none,none,none,TRUE,0,Hymenobacter cavernae,none,8,41,4647,19,41,100,0.21
Hymenobacter defluvii,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,10,14,35,3079171,56.76462552728809,5424454,RS_GCF_017589435.1,4699715,86.63941108174205,SAMN18303291,South Korea,soil,35 N 129 E,FALSE,0,Hymenobacter defluvii,none,3,44,4711,19,44,99.4,0.15
Hymenobacter frigidus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,5,12.5,20,2887061,60.46288417570851,4775043,RS_GCF_014640435.1,4114144,86.15930788476669,SAMD00245003,none,none,none,TRUE,0,Hymenobacter frigidus,none,4,41,4138,19,41,100,0.55
Hymenobacter glacieicola,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,4,10,30,2990937,59.34650796680653,5039836,RS_GCF_014640315.1,4286907,85.06044641135148,SAMD00244996,none,none,none,TRUE,0,Hymenobacter glacieicola,none,3,45,4321,19,44,100,0.55
Hymenobacter gummosus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,20,25,37,4234307,64.94640699394787,6519694,RS_GCF_003970915.1,5581933,85.61648752226715,SAMN10584193,Taiwan: Kaohsiung city,spring,none,TRUE,0,Hymenobacter gummosus,none,8,45,5545,19,47,100,1.68
Hymenobacter koreensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,10,25,30,3166793,59.44023050877744,5327693,RS_GCF_039541855.1,4664361,87.5493576675683,SAMD00645750,none,none,none,TRUE,0,Hymenobacter koreensis,none,4,41,4641,19,41,100,0.56
Hymenobacter latericoloratus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,5,27.5,35,3047438,60.44858423460915,5041490,RS_GCF_014199535.1,4327005,85.82790008509389,SAMN13170703,none,none,none,TRUE,0,Hymenobacter latericoloratus,none,5,42,4348,19,42,99.99,0.62
Hymenobacter luteus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,5,27.5,35,3046979,60.44565437980089,5040951,RS_GCF_014202325.1,4327065,85.83826742215903,SAMN14908554,none,none,none,FALSE,0,Hymenobacter luteus,none,5,42,4348,19,42,99.99,0.62
Hymenobacter monticola,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,4,25,30,3791349,61.90211223349724,6124749,RS_GCF_022811645.1,5357332,87.47022939225755,SAMN27018319,China: a pond on the Huanglong mountain; Sichuan,a pond on the Huanglong mountain,none,TRUE,0,Hymenobacter monticola,none,9,45,5101,19,44,100,0.79
Hymenobacter mucosus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,5,25,35,3086699,55.767524128536174,5534940,RS_GCF_900188255.1,4810197,86.90603692180945,SAMN06269173,none,none,none,TRUE,0,Hymenobacter mucosus,4638,0,42,4767,19,42,100,0.59
Hymenobacter nivis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,0,15,25,3142982,62.51459693368422,5027597,RS_GCF_003149515.1,4236724,84.26936367413697,SAMN08984992,Antarctica: Yatude Valley,Red snow,none,TRUE,0,Hymenobacter nivis,4399,9,43,4452,19,43,99.98,0.11
Hymenobacter perfusus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,4,25,30,3082265,60.27984104074504,5113260,RS_GCF_003944765.1,4442768,86.8871913417272,SAMN10516805,Portugal,water from uranium mine,none,TRUE,0,Hymenobacter perfusus,none,3,43,4385,19,43,99.99,0.22
Hymenobacter profundi,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,4,25,33,2974537,56.74143585998878,5242266,RS_GCF_019334315.1,4552178,86.8360743235845,SAMN20255375,none,none,none,TRUE,0,Hymenobacter profundi,none,6,45,4417,19,44,100,4.99
Hymenobacter psychrophilus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,1,5.5,25,2893616,60.833321069748955,4758215,RS_GCF_900107135.1,4095024,86.06218928736932,SAMN04488069,none,none,none,TRUE,0,Hymenobacter psychrophilus,4148,4,43,4198,19,44,100,0.65
Hymenobacter psychrotolerans,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,4,18,28,2897560,60.77419795974912,4767747,RS_GCF_900142395.1,4162000,87.29490050541692,SAMN02746009,none,none,none,TRUE,0,Hymenobacter psychrotolerans DSM 18569,4169,9,44,4252,19,44,99.98,0.23
Hymenobacter qilianensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,4,28,40,2768922,55.08871741735862,5026296,RS_GCF_014489555.1,4297898,85.50825498538089,SAMN15892349,China: Qilian Mountains,ermafrost region of Qilian Mountains,none,TRUE,0,Hymenobacter qilianensis,none,9,42,5178,19,42,93.94,2.89
Hymenobacter rigui,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,4,30,37,3159696,59.79071614408148,5284593,RS_GCF_003944715.1,4586844,86.7965423259653,SAMN10516804,South Korea: Woopo wetland,freshwater,none,TRUE,0,Hymenobacter rigui,none,4,45,4548,19,45,100,0.59
Hymenobacter rubidus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,12,25,30,3331786,60.71669251361749,5487430,RS_GCF_016734815.1,4774644,87.01056778856405,SAMN17312501,none,soil,none,TRUE,0,Hymenobacter rubidus,none,3,42,4537,19,42,100,0.31
Hymenobacter rubripertinctus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,4,20,28,3147476,61.72505538628021,5099443,RS_GCF_003583925.1,4333890,84.98751726414042,SAMN09845987,Antarctica: Antarctic Ross Orogen; Northern Victoria Land; Inexpressible Island,soil,74.91694 S 163.71639 E,TRUE,0,Hymenobacter rubripertinctus,none,3,45,4483,19,45,100,0.6
